,minute,player,squad,xg,psxg,outcome,distance,body part,notes,sca_1_player,sca_1_event,sca_2_player,sca_2_event
0,4,Gabriel Jesus,Arsenal,0.15,,Blocked,14.0,Right Foot,,Gabriel Jesus,Take-On,Gabriel Jesus,Take-On
1,4,Gabriel Martinelli,Arsenal,0.22,,Off Target,8.0,Left Foot,,Gabriel Jesus,Shot,,
2,8,Oleksandr Zinchenko,Arsenal,0.03,0.06,Saved,18.0,Left Foot,Deflected,Granit Xhaka,Pass (Live),Gabriel Jesus,Pass (Live)
3,9,Thomas Partey,Arsenal,0.1,,Blocked,21.0,Right Foot,,Oleksandr Zinchenko,Pass (Live),Granit Xhaka,Pass (Live)
4,20,Gabriel Martinelli,Arsenal,0.16,0.29,Goal,5.0,Head,,Oleksandr Zinchenko,Pass (Live),Bukayo Saka,Pass (Dead)
5,42,Odsonne Édouard,Crystal Palace,0.1,0.13,Saved,10.0,Head,,Joachim Andersen,Pass (Live),Eberechi Eze,Pass (Dead)
6,45+1,Odsonne Édouard,Crystal Palace,0.04,,Blocked,17.0,Right Foot,,Jordan Ayew,Pass (Live),Cheick Doucouré,Pass (Live)
7,45+1,Odsonne Édouard,Crystal Palace,0.08,,Blocked,9.0,Right Foot,,Odsonne Édouard,Shot,,
8,,,,,,,,,,,,,
9,47,Jeffrey Schlupp,Crystal Palace,0.04,,Blocked,27.0,Left Foot,,Jordan Ayew,Pass (Live),Joachim Andersen,Pass (Live)
10,51,Martin Ødegaard,Arsenal,0.05,,Blocked,18.0,Right Foot,,Gabriel Martinelli,Pass (Live),Bukayo Saka,Pass (Live)
11,52,Eberechi Eze,Crystal Palace,0.49,0.22,Saved,12.0,Right Foot,,Wilfried Zaha,Pass (Live),Nathaniel Clyne,Pass (Live)
12,56,Martin Ødegaard,Arsenal,0.03,,Off Target,27.0,Left Foot,Free kick,Bukayo Saka,Fouled,,
13,66,Jeffrey Schlupp,Crystal Palace,0.03,,Blocked,18.0,Left Foot,,Jordan Ayew,Pass (Live),Nathaniel Clyne,Pass (Live)
14,70,Bukayo Saka,Arsenal,0.09,,Off Target,10.0,Right Foot,,Ben White,Pass (Live),William Saliba,Pass (Dead)
15,72,Wilfried Zaha,Crystal Palace,0.06,,Blocked,12.0,Right Foot,,Jordan Ayew,Pass (Live),Jordan Ayew,Take-On
16,81,Jordan Ayew,Crystal Palace,0.05,,Blocked,14.0,Right Foot,,Jordan Ayew,Take-On,Jordan Ayew,Take-On
17,81,Jeffrey Schlupp,Crystal Palace,0.17,,Off Target,10.0,Left Foot,,Wilfried Zaha,Pass (Live),Wilfried Zaha,Take-On
18,81,Jean-Philippe Mateta,Crystal Palace,0.14,,Off Target,13.0,Left Foot,,Jeffrey Schlupp,Shot,,
19,85,Bukayo Saka,Arsenal,0.09,,Off Target,14.0,Right Foot,,Thomas Partey,Pass (Live),Granit Xhaka,Pass (Live)
20,87,Bukayo Saka,Arsenal,0.08,,Blocked,12.0,Right Foot,,Eddie Nketiah,Pass (Live),Eddie Nketiah,Take-On
