,minute,player,squad,xg,psxg,outcome,distance,body part,notes,sca_1_player,sca_1_event,sca_2_player,sca_2_event
0,2,James Tarkowski,Burnley,0.54,0.86,Goal,3.0,Head,,Ashley Westwood,Pass (Dead),Charlie Taylor,Pass (Dead)
1,16,Solly March,Brighton,0.05,0.05,Saved,31.0,Left Foot,Free kick,Neal Maupay,Fouled,Robert Sánchez,Pass (Live)
2,19,Jack Cork,Burnley,0.06,,Off Target,18.0,Right Foot,,Charlie Taylor,Pass (Live),Dwight McNeil,Pass (Live)
3,19,Jóhann Berg Guðmundsson,Burnley,0.04,,Woodwork,24.0,Right Foot,,,,,
4,22,Chris Wood,Burnley,0.02,0.02,Saved,25.0,Left Foot,,Matthew Lowton,Pass (Live),Chris Wood,Pass (Live)
5,31,Jay Rodriguez,Burnley,0.16,0.06,Saved,17.0,Right Foot,,Ashley Westwood,Pass (Live),Chris Wood,Pass (Live)
6,35,Shane Duffy,Brighton,0.02,,Off Target,12.0,Head,,,,,
7,36,Ben Mee,Burnley,0.19,,Woodwork,3.0,Head,,Dwight McNeil,Pass (Live),,
8,36,James Tarkowski,Burnley,0.07,,Off Target,9.0,Right Foot,Volley,Ben Mee,Shot,,
9,38,Neal Maupay,Brighton,0.07,0.07,Saved,17.0,Right Foot,Volley,Enock Mwepu,Pass (Live),Neal Maupay,Pass (Live)
10,41,Shane Duffy,Brighton,0.01,,Blocked,11.0,Head,,Solly March,Pass (Dead),,
11,41,Pascal Groß,Brighton,0.03,,Off Target,18.0,Right Foot,Volley,Shane Duffy,Shot,,
12,41,Neal Maupay,Brighton,0.04,,Off Target,12.0,Head,,Solly March,Pass (Live),Adam Webster,Pass (Live)
13,,,,,,,,,,,,,
14,47,Neal Maupay,Brighton,0.07,,Blocked,11.0,Right Foot,,Steven Alzate,Pass (Live),Pascal Groß,Pass (Live)
15,47,Shane Duffy,Brighton,0.01,,Blocked,13.0,Head,,Pascal Groß,Pass (Dead),Neal Maupay,Shot
16,52,Jóhann Berg Guðmundsson,Burnley,0.1,,Off Target,22.0,Left Foot,Free kick,Charlie Taylor,Fouled,Jay Rodriguez,Pass (Live)
17,54,James Tarkowski,Burnley,0.08,,Off Target,5.0,Head,,Dwight McNeil,Pass (Live),Ashley Westwood,Pass (Live)
18,58,Leandro Trossard,Brighton,0.09,,Off Target,11.0,Left Foot,,Steven Alzate,Pass (Live),Pascal Groß,Pass (Live)
19,67,Shane Duffy,Brighton,0.02,0.06,Saved,14.0,Head,,Solly March,Pass (Dead),Leandro Trossard,Take-On
20,68,Chris Wood,Burnley,0.04,,Off Target,12.0,Head,,Dwight McNeil,Pass (Live),Jóhann Berg Guðmundsson,Pass (Live)
21,72,Chris Wood,Burnley,0.03,,Blocked,27.0,Right Foot,,Ashley Barnes,Pass (Live),,
22,73,Neal Maupay,Brighton,0.4,0.7,Goal,5.0,Right Foot,,Jakub Moder,Pass (Live),Yves Bissouma,Pass (Live)
23,78,Alexis Mac Allister,Brighton,0.19,0.14,Goal,10.0,Right Foot,,Pascal Groß,Pass (Live),Adam Webster,Pass (Live)
24,84,Jack Cork,Burnley,0.03,,Blocked,29.0,Right Foot,,Josh Brownhill,Pass (Live),Matthew Lowton,Pass (Live)
25,85,Matěj Vydra,Burnley,0.05,,Blocked,22.0,Left Foot,,Ashley Westwood,Pass (Live),James Tarkowski,Pass (Live)
26,88,Matěj Vydra,Burnley,0.06,,Off Target,11.0,Head,,Charlie Taylor,Pass (Live),Ben Mee,Pass (Live)
27,90+2,Jakub Moder,Brighton,0.04,0.14,Saved,18.0,Right Foot,,Robert Sánchez,Pass (Live),Lewis Dunk,Pass (Live)
28,90+2,Pascal Groß,Brighton,0.01,,Blocked,28.0,Right Foot,,Jakub Moder,Shot,,
